lodgings	period		plural of attested "lodging"
loftily	period		adverb of attested "lofty"
loftiness	period		-ness form of attested "lofty"
loins	period		common ME/EME body-word
longsuffering	period		compound, standard KJV theological term
longwinged	suspect		compound not found; plausible but unverified
lookingglasses	period		compound of two attested words
loops	period		attested ME noun for cord-loop
lothing	period		variant spelling of "loathing"
lovedst	period		regular -edst 2nd person past
lovingkindness	period		standard KJV compound, frequent
lovingkindnesses	period		plural of above
lowliness	period		-ness form of attested "lowly"
lucre's	period		possessive of attested "lucre"
lump	period		common EME noun
lunatick	period		attested EME spelling of "lunatic"
magician	period		singular of attested "magicians"
magicians	period		attested biblical term, common
magistrate	period		common EME civic term
magnifical	suspect		rare Latinate coinage, 1 Chr 22:5 only
maid's	period		possessive of attested "maid"
maidservant	period		compound of two attested words
maidservant's	period		possessive of above
maidservants	period		plural of above
mainsail	period		nautical term, attested since ME
maintainest	period		regular -est verb form
malefactor	period		Latinate legal term, common in EME
malefactors	period		plural of above
maliciousness	period		-ness form of attested "malicious"
mallows	period		plant name, attested herbal usage
manservant	period		compound of two attested words
manservant's	period		possessive of above
manservants	period		plural of above
mantles	period		plural of attested "mantle"
marchedst	period		regular -edst 2nd person past
marishes	period		EME variant spelling of "marshes"
marketh	period		regular -eth verb form
marketplaces	period		compound, attested "market" + "places"
marrow	period		common EME anatomical word
marvellously	period		adverb of attested "marvellous"
marvels	period		plural/verb of attested "marvel"
master's	period		possessive of attested "master"
masterbuilder	period		compound of two attested words
masts	period		plural of attested "mast"
mattock	period		common ME/EME tool word
maul	period		common EME tool/weapon word
mealtime	period		compound of two attested words
meddled	period		regular past of attested "meddle"
meddleth	period		regular -eth verb form
meetest	period		regular -est adjective/verb form
melons	period		attested plant name
men's	period		possessive plural of attested "men"
menpleasers	suspect		rare compound coinage, only Eph/Col
menservants	period		compound of two attested words
merchantmen	period		compound of two attested words
mercyseat	period		standard KJV compound term
merryhearted	period		compound of two attested words
meted	period		regular past of attested "mete"
meteyard	period		EME compound measuring term
midwives	period		common ME/EME occupational word
mighties	period		plural noun use of attested "mighty"
millions	period		common EME numeral word
mills	period		plural of attested "mill"
millstone	period		compound of two attested words
millstones	period		plural of above
mincing	period		common EME participle
minish	period		attested EME verb, "diminish" shortened
minished	period		past of above
ministered	period		regular past of attested "minister"
ministereth	period		regular -eth verb form
ministering	period		regular participle of attested "minister"
ministry	period		common EME ecclesiastical term
miry	period		common EME adjective from "mire"
miscarrying	period		regular participle of attested "miscarry"
mischiefs	period		plural of attested "mischief"
mischievous	period		common EME adjective
moistened	period		regular past of attested "moist"
moles	period		common EME animal word
moneychangers	period		compound of two attested words
monthly	period		common EME adverb/adjective
moons	period		plural of attested "moon"
mortgaged	suspect		legal-financial term, dating uncertain for 1611
mortify	period		common EME Latinate verb, theological usage
mother's	period		possessive of attested "mother"
mouldy	period		common EME adjective
mournfully	period		adverb of attested "mournful"
movedst	period		regular -edst 2nd person past
mowings	period		gerund plural of attested "mow"
multipliedst	period		regular -edst 2nd person past
murderers	period		plural of attested "murderer"
musical	period		common EME adjective
musick	period		attested EME spelling of "music"
mustereth	period		regular -eth verb form
muttered	period		regular past of attested "mutter"
muzzle	period		common EME noun/verb
nailing	period		participle of attested "nail"
nakedness	period		-ness form of attested "naked"
name's	period		possessive of attested "name"
narrowed	period		regular past of attested "narrow"
narrower	period		comparative of attested "narrow"
naughtiness	period		-ness form of attested "naughty"
necromancer	period		Latinate term, attested since ME
needle's	period		possessive of attested "needle"
needlework	period		compound of two attested words
neesings	period		attested EME dialect word for sneezings
neighbour's	period		possessive of attested "neighbour"
neighed	period		regular past of attested "neigh"
neighing	period		participle of attested "neigh"
neighings	period		plural of above
nephews	suspect		sense-shifted word (meant grandsons in EME)
nests	period		plural of attested "nest"
networks	period		compound of two attested words
newborn	period		compound of two attested words
newness	period		-ness form of attested "new"
ninety	period		common EME numeral
nobleman	period		compound of two attested words
noonday	period		compound of two attested words
nourishment	period		common EME Latinate noun
novice	period		Latinate term, attested since ME
numberest	period		regular -est verb form
nursed	period		regular past of attested "nurse"
nursing	period		participle of attested "nurse"
nuts	period		plural of attested "nut"
oath's	period		possessive of attested "oath"
obscurity	period		common EME Latinate noun
observation	period		common EME Latinate noun
observer	period		agent noun of attested "observe"
observers	period		plural of above
observest	period		regular -est verb form
occasioned	period		regular past of attested "occasion"
occurrent	suspect		rare Latinate noun, only 1 Kings 5:4
offender	period		common EME agent noun
offenders	period		plural of above
offscouring	period		compound, attested EME usage
ofttimes	period		common EME adverb, "oft" + "times"
oldness	period		-ness form of attested "old"
olives	period		plural of attested "olive"
oliveyard	period		compound of two attested words
oliveyards	period		plural of above
onycha	period		Hebrew loanword, transliterated spice name
onyx	period		attested gem name since ME
opposest	period		regular -est verb form
opposeth	period		regular -eth verb form
oppositions	period		plural of attested "opposition"
oppressing	period		participle of attested "oppress"
oppressors	period		agent-noun plural of attested "oppress"
ordaineth	period		regular -eth verb form
ordereth	period		regular -eth verb form
orderings	period		gerund plural of attested "order"
orphans	period		common EME Latinate noun
ospray	period		attested bird name, Lev/Deut
ossifrage	period		attested Latinate bird name, Lev/Deut
outcasts	period		compound of two attested words
outgoings	period		compound of two attested words
outlived	period		regular past of attested "outlive"
outmost	period		compound of two attested words
outrun	period		compound of two attested words
outwent	period		compound of two attested words
oven	period		common ME/EME noun
ovens	period		plural of above
overcharge	period		compound of two attested words
overcharged	period		past of above
overdrive	period		compound of two attested words
overflowed	period		compound of two attested words
overfloweth	period		compound, regular -eth
overflowing	period		compound, regular participle
overflown	period		compound, past participle
overlaid	period		compound of two attested words
overlay	period		compound of two attested words
overlaying	period		compound, regular participle
overlived	period		compound of two attested words
overpass	period		compound of two attested words
overpast	period		compound, past form
overplus	period		attested EME noun, "excess"
overran	period		compound of two attested words
overrunning	period		compound, regular participle
overseer	period		compound of two attested words
overseers	period		plural of above
overshadow	period		compound of two attested words
overshadowed	period		compound, past form
overspread	period		compound of two attested words
overspreading	period		compound, regular participle
overtaketh	period		compound, regular -eth
overthroweth	period		compound, regular -eth
overturn	period		compound of two attested words
overturned	period		compound, past form
overturneth	period		compound, regular -eth
overwhelm	period		common EME verb
owl	period		common ME/EME bird word
owls	period		plural of above
owneth	period		regular -eth verb form
pacify	period		common EME Latinate verb
painful	period		common EME adjective
painfulness	period		-ness form of above
paleness	period		-ness form of attested "pale"
palmerworm	period		attested EME compound, Joel
palms	period		plural of attested "palm"
pardoneth	period		regular -eth verb form
parlours	period		common EME domestic noun
partakest	period		regular -est verb form
passedst	period		regular -edst 2nd person past
passengers	period		common EME noun, "travellers" sense
passover	period		standard KJV festival term
passovers	period		plural of above
pastor	period		common EME ecclesiastical term
patriarchs	period		Latinate term, attested since ME
pavilions	period		common EME term, attested since ME
paweth	period		regular -eth verb form
paws	period		plural of attested "paw"
peacocks	period		compound of two attested words
pedigrees	period		common EME term, attested since ME
peeled	period		regular past of attested "peel"
peep	period		common EME verb
peeped	period		regular past of above
pelican	period		attested bird name, Lev/Deut/Ps
pennyworth	period		compound of two attested words
people's	period		possessive of attested "people"
perceivest	period		regular -est verb form
perceiveth	period		regular -eth verb form
perceiving	period		regular participle of attested "perceive"
perfecting	period		regular participle of attested "perfect"
perfectness	period		-ness form of attested "perfect"
performance	period		common EME Latinate noun
perishing	period		regular participle of attested "perish"
perjured	period		common EME Latinate adjective
perplexity	period		common EME Latinate noun
persecuting	period		regular participle of attested "persecute"
persecutors	period		agent-noun plural of attested "persecute"
